s_num,ep_num,nth_s_ep,seg_num,seg_name,seg_url
1,Special_7_with_Robert_Stack,7,3,Robert Weeks,https://unsolvedmysteries.fandom.com//wiki/Robert_Weeks
1,Special_7_with_Robert_Stack,7,4,Roger Wheeler,https://unsolvedmysteries.fandom.com//wiki/Roger_Wheeler
1,Special_7_with_Robert_Stack,7,5,Diane Brodbeck,https://unsolvedmysteries.fandom.com//wiki/Diane_Brodbeck
1,Special_7_with_Robert_Stack,7,5,Jon Yount,https://unsolvedmysteries.fandom.com//wiki/Jon_Yount
1,Special_7_with_Robert_Stack,7,6,Beale's Treasure,https://unsolvedmysteries.fandom.com//wiki/Beale%27s_Treasure
1,Episode_1,8,1,Gulf Breeze UFO,https://unsolvedmysteries.fandom.com//wiki/Gulf_Breeze_UFO
1,Episode_1,8,2,Louis Carlucci,https://unsolvedmysteries.fandom.com//wiki/Louis_Carlucci
1,Episode_1,8,3,Joe Shepherd,https://unsolvedmysteries.fandom.com//wiki/Joe_Shepherd
1,Episode_1,8,4,Gail DeLano,https://unsolvedmysteries.fandom.com//wiki/Gail_DeLano
1,Episode_2,9,1,D.B. Cooper,https://unsolvedmysteries.fandom.com//wiki/D.B._Cooper
1,Episode_2,9,2,Jon Yount,https://unsolvedmysteries.fandom.com//wiki/Jon_Yount
1,Episode_2,9,2,Diane Brodbeck,https://unsolvedmysteries.fandom.com//wiki/Diane_Brodbeck
1,Episode_2,9,3,Steve Hadley,https://unsolvedmysteries.fandom.com//wiki/Steve_Hadley
1,Episode_2,9,4,Don Henry and Kevin Ives,https://unsolvedmysteries.fandom.com//wiki/Don_Henry_and_Kevin_Ives
1,Episode_2,9,5,Dennis Walker,https://unsolvedmysteries.fandom.com//wiki/Dennis_Walker
1,Episode_3,10,1,The Queen Mary,https://unsolvedmysteries.fandom.com//wiki/The_Queen_Mary
1,Episode_3,10,2,Tallman House,https://unsolvedmysteries.fandom.com//wiki/Tallman_House
1,Episode_3,10,3,The General Wayne Inn,https://unsolvedmysteries.fandom.com//wiki/The_General_Wayne_Inn
1,Episode_3,10,4,Tatum House,https://unsolvedmysteries.fandom.com//wiki/Tatum_House
1,Episode_4,11,1,Son of Sam,https://unsolvedmysteries.fandom.com//wiki/Son_of_Sam
1,Episode_4,11,2,Heirs of Walter Green,https://unsolvedmysteries.fandom.com//wiki/Heirs_of_Walter_Green
1,Episode_4,11,3,Harold and Thelma Swain,https://unsolvedmysteries.fandom.com//wiki/Harold_and_Thelma_Swain
1,Episode_4,11,4,Chevy Chase Bandit,https://unsolvedmysteries.fandom.com//wiki/Chevy_Chase_Bandit
1,Episode_4,11,4,John William Farr,https://unsolvedmysteries.fandom.com//wiki/John_William_Farr
1,Episode_4,11,4,Shotgun Bandit,https://unsolvedmysteries.fandom.com//wiki/Shotgun_Bandit
1,Episode_4,11,4,mw-redirect,https://unsolvedmysteries.fandom.com//wiki/Shopping_Bag_Bandit
1,Episode_5,12,1,Bob Dozier and John Russell,https://unsolvedmysteries.fandom.com//wiki/Bob_Dozier_and_John_Russell
1,Episode_5,12,1,Kristen Tomlin and Suzanne Russell,https://unsolvedmysteries.fandom.com//wiki/Kristen_Tomlin_and_Suzanne_Russell
1,Episode_5,12,2,Rolex Robbers,https://unsolvedmysteries.fandom.com//wiki/Rolex_Robbers
1,Episode_5,12,3,The Father of Janet O'Regan,https://unsolvedmysteries.fandom.com//wiki/The_Father_of_Janet_O%27Regan
1,Episode_5,12,4,Son of Sam,https://unsolvedmysteries.fandom.com//wiki/Son_of_Sam
1,Episode_5,12,5,Annie Hearin,https://unsolvedmysteries.fandom.com//wiki/Annie_Hearin
1,Episode_6,13,1,Christi Nichols,https://unsolvedmysteries.fandom.com//wiki/Christi_Nichols
1,Episode_6,13,2,Gail DeLano,https://unsolvedmysteries.fandom.com//wiki/Gail_DeLano
1,Episode_6,13,3,Mark Adams,https://unsolvedmysteries.fandom.com//wiki/Mark_Adams
1,Episode_6,13,4,Steven Cox,https://unsolvedmysteries.fandom.com//wiki/Steven_Cox
1,Episode_6,13,5,Barbara Jean Horn,https://unsolvedmysteries.fandom.com//wiki/Barbara_Jean_Horn
1,Episode_7,14,1,Kurt Sova,https://unsolvedmysteries.fandom.com//wiki/Kurt_Sova
1,Episode_7,14,1,Eugene Kvet,https://unsolvedmysteries.fandom.com//wiki/Eugene_Kvet
1,Episode_7,14,2,mw-redirect,https://unsolvedmysteries.fandom.com//wiki/Shopping_Bag_Bandit
1,Episode_7,14,3,Bob Dozier and John Russell,https://unsolvedmysteries.fandom.com//wiki/Bob_Dozier_and_John_Russell
1,Episode_7,14,4,Lancaster Extortion Writer,https://unsolvedmysteries.fandom.com//wiki/Lancaster_Extortion_Writer
